title,summary,keywords,score
Integration of Green Coding into Management Frameworks - An Integration Outlook,"This paper explores how green coding and sustainable software engineering principles can be systematically integrated into existing management and software development frameworks. It identifies current integration points, gaps in standardized sustainability metrics and energy-efficiency guidance, and proposes strategies for adoption that can be leveraged by organizations and educational institutions. The main result is a framework analysis showing that strong governance foundations provide opportunities for integration, but significant gaps remain in tracking environmental impact and measuring sustainability.",green coding; sustainable software engineering; management frameworks; energy efficiency; software integration,9
Child Care,,,
Integrating Green Software Practices into Scrum: A Catalog of Measures and Systemic Challenges,"This paper presents a catalog of 101 green software practices mapped to the Scrum framework, showing how sustainability can be integrated without changing Scrum's structure. It identifies systemic challenges hindering adoption and concludes that Scrum's existing phases can support sustainable practices that also improve product quality.",green software; Scrum; sustainability; agile development; software engineering,6
Lunch,,,
The Impacts of Artificial Intelligence throughout the Software Development Life-cycle on Sustainability: A Mixed-method Study,"This study investigates how artificial intelligence impacts sustainability across all phases of the software development life cycle, using a mixed-method approach of 64 research papers and 27 interviews. It finds that AI improves productivity and code quality but also introduces challenges like high energy consumption, bias, and skill degradation. The paper recommends integrating sustainability checkpoints such as energy monitoring and human oversight to make AI-assisted development more intentionally sustainable.",AI in software development; sustainability; software development life cycle; energy consumption; green AI,7
Learning to Be Green: A Reinforcement Learning Agent for Sustainable Microservice Allocation in Cloud Computing,"This paper presents a reinforcement learning agent using Proximal Policy Optimization (PPO) to allocate containers in cloud computing systems, aiming to improve energy efficiency and resource utilization. The agent learns adaptive policies for container placement and power management, outperforming traditional heuristics by achieving higher consolidation with fewer active nodes. The results show that this approach can make cloud infrastructures greener and more cost-effective.",reinforcement learning; cloud computing; energy efficiency; container allocation; sustainability,8
Bridging the gap between industry and academia: sustainability in LLM-assisted software engineering,This paper explores sustainability in LLM-assisted software engineering by identifying gaps between academic and industrial approaches. It emphasizes the need for standardized frameworks that link reproducibility with real-world sustainability. The main result is a set of considerations for shaping research agendas toward more sustainable AI-assisted software development.,LLM; software engineering; sustainability; academic-industry gap; reproducibility,6
Transpiling with LLMs for Energy Efficiency,"This paper proposes using LLMs to automatically convert high-level interpreted code (e.g., Python) into more efficient compiled code (e.g., C++) to improve energy efficiency. The authors test this by transpiling Python LeetCode solutions into C++ with an LLM, achieving 87% functional correctness and reducing runtime and energy consumption by about 94%. The results indicate that code transpilation by LLMs can significantly lower energy usage while preserving correctness.",LLM transpilation; energy efficiency; code conversion; compiled code; Python to C++,4
ICSE Reception,,,
Social event,,,
"GREENS 2026 - Discussion, Presentation of Results, and Closing",,,
METRION: A Framework for Accurate Software Energy Measurement,"This paper presents METRION, a framework for accurately measuring the energy consumption of software applications at the thread level, focusing on CPU and DRAM usage. It accounts for modern hardware features like Simultaneous Multithreading and frequency scaling. The main result is that METRION achieves low error rates: 4.2% for CPU energy and 16.1% for DRAM energy.",software energy measurement; energy attribution model; CPU and DRAM energy; METRION framework; green computing,5
The Impact of External Libraries on Software Energy Efficiency and Sustainability,"This paper argues that external libraries in software development are often overlooked as significant contributors to energy waste, despite being widely assumed to improve efficiency. The authors advocate for energy-sensitive practices such as transparent reporting, benchmarking tools, and sustainability-integrated workflows to help developers make informed library choices. The main result is a call to action for the research community and industry to prioritize energy efficiency in library selection to support green software principles.",external libraries; energy efficiency; software sustainability; green software; benchmarking,8
Towards a Taxonomy of Sustainability Requirements for Software Design,"This paper presents a taxonomy of sustainability requirements for software design, developed through a systematic literature review. It categorizes requirements across environmental, economic, social, and technical dimensions and identifies correlations among them. The work aims to address the lack of well-defined artifacts for capturing granular sustainability requirements in software systems.",sustainability requirements; software design; taxonomy; systematic literature review; sustainable software engineering,5
Can We Measure What We Ignore? Rethinking the Individual Dimension of Software Sustainability in Digital Health,"This paper argues that software sustainability research focuses too much on environmental and technical aspects while neglecting the 'individual dimension'—human motivation, ethics, and well-being. It proposes the SEEDS framework to re-center this dimension, especially in digital health contexts, and calls for new metrics and awareness in software engineering. The main result is a call to reframe sustainability as fundamentally dependent on sustaining the people involved.",software sustainability; individual dimension; digital health; SEEDS framework; human well-being,2
ICSE Steering Committee Meeting,,,
CHAINS - Collaborative Hub for Advancing Innovative and Sustainable Software Supply Chains,"This paper presents CHAINS, a research project that models and optimizes software supply chains by incorporating sustainability, security, and energy consumption metrics. It helps developers make better decisions about dependencies and updates by analyzing their impact on software quality and environmental footprint.",software supply chains; sustainability; energy consumption; software optimization; dependency management,6
Not All local LLMs Are Equal: A Benchmark of Energy and Performance,"This paper benchmarks five local large language models (LLMs) on code generation tasks, evaluating their accuracy, runtime, and energy consumption. It finds that 3-shot prompting consistently improves both runtime and energy efficiency over 0-shot prompting without reducing code quality, revealing trade-offs between model effectiveness and efficiency. The results highlight the need for careful model selection and prompt design to enable more sustainable use of LLMs.",local LLMs; energy efficiency; code generation; prompt engineering; benchmarking,8
